	"County of Residence"	"County of Residence Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	Births
	"Washington County, AR"	"05143"	"15-19 years"	"15-19"	"2022"	"2022"	198
	"Unidentified Counties, AR"	"05999"	"15-19 years"	"15-19"	"2022"	"2022"	1599
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	"2022"	"2022"	308
	"Butte County, CA"	"06007"	"15-19 years"	"15-19"	"2022"	"2022"	69
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	"2022"	"2022"	232
	"El Dorado County, CA"	"06017"	"15-19 years"	"15-19"	"2022"	"2022"	27
	"Fresno County, CA"	"06019"	"15-19 years"	"15-19"	"2022"	"2022"	618
	"Humboldt County, CA"	"06023"	"15-19 years"	"15-19"	"2022"	"2022"	34
	"Imperial County, CA"	"06025"	"15-19 years"	"15-19"	"2022"	"2022"	116
	"Kern County, CA"	"06029"	"15-19 years"	"15-19"	"2022"	"2022"	679
	"Kings County, CA"	"06031"	"15-19 years"	"15-19"	"2022"	"2022"	101
	"Los Angeles County, CA"	"06037"	"15-19 years"	"15-19"	"2022"	"2022"	2515
	"Madera County, CA"	"06039"	"15-19 years"	"15-19"	"2022"	"2022"	113
	"Marin County, CA"	"06041"	"15-19 years"	"15-19"	"2022"	"2022"	28
	"Merced County, CA"	"06047"	"15-19 years"	"15-19"	"2022"	"2022"	219
	"Monterey County, CA"	"06053"	"15-19 years"	"15-19"	"2022"	"2022"	293
	"Napa County, CA"	"06055"	"15-19 years"	"15-19"	"2022"	"2022"	18
	"Orange County, CA"	"06059"	"15-19 years"	"15-19"	"2022"	"2022"	654
	"Placer County, CA"	"06061"	"15-19 years"	"15-19"	"2022"	"2022"	48
	"Riverside County, CA"	"06065"	"15-19 years"	"15-19"	"2022"	"2022"	950
	"Sacramento County, CA"	"06067"	"15-19 years"	"15-19"	"2022"	"2022"	459
	"San Bernardino County, CA"	"06071"	"15-19 years"	"15-19"	"2022"	"2022"	994
	"San Diego County, CA"	"06073"	"15-19 years"	"15-19"	"2022"	"2022"	731
	"San Francisco County, CA"	"06075"	"15-19 years"	"15-19"	"2022"	"2022"	88
	"San Joaquin County, CA"	"06077"	"15-19 years"	"15-19"	"2022"	"2022"	370
	"San Luis Obispo County, CA"	"06079"	"15-19 years"	"15-19"	"2022"	"2022"	56
	"San Mateo County, CA"	"06081"	"15-19 years"	"15-19"	"2022"	"2022"	107
	"Santa Barbara County, CA"	"06083"	"15-19 years"	"15-19"	"2022"	"2022"	352
	"Santa Clara County, CA"	"06085"	"15-19 years"	"15-19"	"2022"	"2022"	311
	"Santa Cruz County, CA"	"06087"	"15-19 years"	"15-19"	"2022"	"2022"	72
	"Shasta County, CA"	"06089"	"15-19 years"	"15-19"	"2022"	"2022"	69
	"Solano County, CA"	"06095"	"15-19 years"	"15-19"	"2022"	"2022"	124
	"Sonoma County, CA"	"06097"	"15-19 years"	"15-19"	"2022"	"2022"	120
	"Stanislaus County, CA"	"06099"	"15-19 years"	"15-19"	"2022"	"2022"	312
	"Tulare County, CA"	"06107"	"15-19 years"	"15-19"	"2022"	"2022"	384
	"Ventura County, CA"	"06111"	"15-19 years"	"15-19"	"2022"	"2022"	272
	"Yolo County, CA"	"06113"	"15-19 years"	"15-19"	"2022"	"2022"	57
	"Unidentified Counties, CA"	"06999"	"15-19 years"	"15-19"	"2022"	"2022"	379
	"Adams County, CO"	"08001"	"15-19 years"	"15-19"	"2022"	"2022"	263
	"Arapahoe County, CO"	"08005"	"15-19 years"	"15-19"	"2022"	"2022"	216
	"Boulder County, CO"	"08013"	"15-19 years"	"15-19"	"2022"	"2022"	53
	"Denver County, CO"	"08031"	"15-19 years"	"15-19"	"2022"	"2022"	279
	"Douglas County, CO"	"08035"	"15-19 years"	"15-19"	"2022"	"2022"	35
	"El Paso County, CO"	"08041"	"15-19 years"	"15-19"	"2022"	"2022"	329
	"Jefferson County, CO"	"08059"	"15-19 years"	"15-19"	"2022"	"2022"	100
	"Larimer County, CO"	"08069"	"15-19 years"	"15-19"	"2022"	"2022"	70
	"Mesa County, CO"	"08077"	"15-19 years"	"15-19"	"2022"	"2022"	86
	"Pueblo County, CO"	"08101"	"15-19 years"	"15-19"	"2022"	"2022"	98
	"Weld County, CO"	"08123"	"15-19 years"	"15-19"	"2022"	"2022"	184
	"Unidentified Counties, CO"	"08999"	"15-19 years"	"15-19"	"2022"	"2022"	291
	"Fairfield County, CT"	"09001"	"15-19 years"	"15-19"	"2022"	"2022"	190
	"Hartford County, CT"	"09003"	"15-19 years"	"15-19"	"2022"	"2022"	212
	"Litchfield County, CT"	"09005"	"15-19 years"	"15-19"	"2022"	"2022"	14
	"Middlesex County, CT"	"09007"	"15-19 years"	"15-19"	"2022"	"2022"	10
	"New Haven County, CT"	"09009"	"15-19 years"	"15-19"	"2022"	"2022"	270
	"New London County, CT"	"09011"	"15-19 years"	"15-19"	"2022"	"2022"	51
	"Tolland County, CT"	"09013"	"15-19 years"	"15-19"	"2022"	"2022"	13
	"Windham County, CT"	"09015"	"15-19 years"	"15-19"	"2022"	"2022"	24
	"Kent County, DE"	"10001"	"15-19 years"	"15-19"	"2022"	"2022"	88
	"New Castle County, DE"	"10003"	"15-19 years"	"15-19"	"2022"	"2022"	235
	"Sussex County, DE"	"10005"	"15-19 years"	"15-19"	"2022"	"2022"	143
	"District of Columbia, DC"	"11001"	"15-19 years"	"15-19"	"2022"	"2022"	240
	"Alachua County, FL"	"12001"	"15-19 years"	"15-19"	"2022"	"2022"	96
	"Bay County, FL"	"12005"	"15-19 years"	"15-19"	"2022"	"2022"	89
	"Brevard County, FL"	"12009"	"15-19 years"	"15-19"	"2022"	"2022"	166
	"Broward County, FL"	"12011"	"15-19 years"	"15-19"	"2022"	"2022"	472
	"Charlotte County, FL"	"12015"	"15-19 years"	"15-19"	"2022"	"2022"	41
	"Citrus County, FL"	"12017"	"15-19 years"	"15-19"	"2022"	"2022"	55
	"Clay County, FL"	"12019"	"15-19 years"	"15-19"	"2022"	"2022"	97
	"Collier County, FL"	"12021"	"15-19 years"	"15-19"	"2022"	"2022"	165
	"Duval County, FL"	"12031"	"15-19 years"	"15-19"	"2022"	"2022"	556
	"Escambia County, FL"	"12033"	"15-19 years"	"15-19"	"2022"	"2022"	229
	"Hernando County, FL"	"12053"	"15-19 years"	"15-19"	"2022"	"2022"	84
	"Hillsborough County, FL"	"12057"	"15-19 years"	"15-19"	"2022"	"2022"	638
	"Indian River County, FL"	"12061"	"15-19 years"	"15-19"	"2022"	"2022"	50
	"Lake County, FL"	"12069"	"15-19 years"	"15-19"	"2022"	"2022"	143
	"Lee County, FL"	"12071"	"15-19 years"	"15-19"	"2022"	"2022"	286
	"Leon County, FL"	"12073"	"15-19 years"	"15-19"	"2022"	"2022"	108
	"Manatee County, FL"	"12081"	"15-19 years"	"15-19"	"2022"	"2022"	202
	"Marion County, FL"	"12083"	"15-19 years"	"15-19"	"2022"	"2022"	199
	"Martin County, FL"	"12085"	"15-19 years"	"15-19"	"2022"	"2022"	43
	"Miami-Dade County, FL"	"12086"	"15-19 years"	"15-19"	"2022"	"2022"	688
	"Okaloosa County, FL"	"12091"	"15-19 years"	"15-19"	"2022"	"2022"	87
	"Orange County, FL"	"12095"	"15-19 years"	"15-19"	"2022"	"2022"	537
	"Osceola County, FL"	"12097"	"15-19 years"	"15-19"	"2022"	"2022"	164
	"Palm Beach County, FL"	"12099"	"15-19 years"	"15-19"	"2022"	"2022"	516
	"Pasco County, FL"	"12101"	"15-19 years"	"15-19"	"2022"	"2022"	202
	"Pinellas County, FL"	"12103"	"15-19 years"	"15-19"	"2022"	"2022"	263
	"Polk County, FL"	"12105"	"15-19 years"	"15-19"	"2022"	"2022"	459
	"St. Johns County, FL"	"12109"	"15-19 years"	"15-19"	"2022"	"2022"	31
	"St. Lucie County, FL"	"12111"	"15-19 years"	"15-19"	"2022"	"2022"	133
	"Santa Rosa County, FL"	"12113"	"15-19 years"	"15-19"	"2022"	"2022"	71
	"Sarasota County, FL"	"12115"	"15-19 years"	"15-19"	"2022"	"2022"	81
	"Seminole County, FL"	"12117"	"15-19 years"	"15-19"	"2022"	"2022"	103
	"Volusia County, FL"	"12127"	"15-19 years"	"15-19"	"2022"	"2022"	242
	"Unidentified Counties, FL"	"12999"	"15-19 years"	"15-19"	"2022"	"2022"	843
	"Bartow County, GA"	"13015"	"15-19 years"	"15-19"	"2022"	"2022"	52
	"Bibb County, GA"	"13021"	"15-19 years"	"15-19"	"2022"	"2022"	158
	"Carroll County, GA"	"13045"	"15-19 years"	"15-19"	"2022"	"2022"	106
	"Chatham County, GA"	"13051"	"15-19 years"	"15-19"	"2022"	"2022"	172
	"Cherokee County, GA"	"13057"	"15-19 years"	"15-19"	"2022"	"2022"	83
	"Clarke County, GA"	"13059"	"15-19 years"	"15-19"	"2022"	"2022"	59
	"Clayton County, GA"	"13063"	"15-19 years"	"15-19"	"2022"	"2022"	182
	"Cobb County, GA"	"13067"	"15-19 years"	"15-19"	"2022"	"2022"	249
	"Columbia County, GA"	"13073"	"15-19 years"	"15-19"	"2022"	"2022"	44
	"Coweta County, GA"	"13077"	"15-19 years"	"15-19"	"2022"	"2022"	65
	"DeKalb County, GA"	"13089"	"15-19 years"	"15-19"	"2022"	"2022"	399
	"Douglas County, GA"	"13097"	"15-19 years"	"15-19"	"2022"	"2022"	80
	"Fayette County, GA"	"13113"	"15-19 years"	"15-19"	"2022"	"2022"	32
	"Forsyth County, GA"	"13117"	"15-19 years"	"15-19"	"2022"	"2022"	37
	"Fulton County, GA"	"13121"	"15-19 years"	"15-19"	"2022"	"2022"	407
	"Gwinnett County, GA"	"13135"	"15-19 years"	"15-19"	"2022"	"2022"	388
	"Hall County, GA"	"13139"	"15-19 years"	"15-19"	"2022"	"2022"	169
	"Henry County, GA"	"13151"	"15-19 years"	"15-19"	"2022"	"2022"	110
	"Houston County, GA"	"13153"	"15-19 years"	"15-19"	"2022"	"2022"	96
	"Lowndes County, GA"	"13185"	"15-19 years"	"15-19"	"2022"	"2022"	108
	"Muscogee County, GA"	"13215"	"15-19 years"	"15-19"	"2022"	"2022"	167
	"Paulding County, GA"	"13223"	"15-19 years"	"15-19"	"2022"	"2022"	53
	"Richmond County, GA"	"13245"	"15-19 years"	"15-19"	"2022"	"2022"	163
	"Whitfield County, GA"	"13313"	"15-19 years"	"15-19"	"2022"	"2022"	85
	"Unidentified Counties, GA"	"13999"	"15-19 years"	"15-19"	"2022"	"2022"	2664
	"Hawaii County, HI"	"15001"	"15-19 years"	"15-19"	"2022"	"2022"	88
	"Honolulu County, HI"	"15003"	"15-19 years"	"15-19"	"2022"	"2022"	269
	"Maui County, HI"	"15009"	"15-19 years"	"15-19"	"2022"	"2022"	52
	"Unidentified Counties, HI"	"15999"	"15-19 years"	"15-19"	"2022"	"2022"	23
	"Ada County, ID"	"16001"	"15-19 years"	"15-19"	"2022"	"2022"	96
	"Bonneville County, ID"	"16019"	"15-19 years"	"15-19"	"2022"	"2022"	63
	"Canyon County, ID"	"16027"	"15-19 years"	"15-19"	"2022"	"2022"	143
	"Kootenai County, ID"	"16055"	"15-19 years"	"15-19"	"2022"	"2022"	61
	"Unidentified Counties, ID"	"16999"	"15-19 years"	"15-19"	"2022"	"2022"	444
	"Champaign County, IL"	"17019"	"15-19 years"	"15-19"	"2022"	"2022"	100
	"Cook County, IL"	"17031"	"15-19 years"	"15-19"	"2022"	"2022"	1590
	"DeKalb County, IL"	"17037"	"15-19 years"	"15-19"	"2022"	"2022"	31
	"DuPage County, IL"	"17043"	"15-19 years"	"15-19"	"2022"	"2022"	122
	"Kane County, IL"	"17089"	"15-19 years"	"15-19"	"2022"	"2022"	190
	"Kankakee County, IL"	"17091"	"15-19 years"	"15-19"	"2022"	"2022"	51
	"Kendall County, IL"	"17093"	"15-19 years"	"15-19"	"2022"	"2022"	32
	"Lake County, IL"	"17097"	"15-19 years"	"15-19"	"2022"	"2022"	188
	"LaSalle County, IL"	"17099"	"15-19 years"	"15-19"	"2022"	"2022"	46
	"McHenry County, IL"	"17111"	"15-19 years"	"15-19"	"2022"	"2022"	61
	"McLean County, IL"	"17113"	"15-19 years"	"15-19"	"2022"	"2022"	52
	"Macon County, IL"	"17115"	"15-19 years"	"15-19"	"2022"	"2022"	85
	"Madison County, IL"	"17119"	"15-19 years"	"15-19"	"2022"	"2022"	115
	"Peoria County, IL"	"17143"	"15-19 years"	"15-19"	"2022"	"2022"	139
	"Rock Island County, IL"	"17161"	"15-19 years"	"15-19"	"2022"	"2022"	96
	"St. Clair County, IL"	"17163"	"15-19 years"	"15-19"	"2022"	"2022"	108
	"Sangamon County, IL"	"17167"	"15-19 years"	"15-19"	"2022"	"2022"	102
	"Tazewell County, IL"	"17179"	"15-19 years"	"15-19"	"2022"	"2022"	56
	"Will County, IL"	"17197"	"15-19 years"	"15-19"	"2022"	"2022"	150
	"Winnebago County, IL"	"17201"	"15-19 years"	"15-19"	"2022"	"2022"	190
	"Unidentified Counties, IL"	"17999"	"15-19 years"	"15-19"	"2022"	"2022"	991
	"Allen County, IN"	"18003"	"15-19 years"	"15-19"	"2022"	"2022"	251
	"Clark County, IN"	"18019"	"15-19 years"	"15-19"	"2022"	"2022"	66
	"Delaware County, IN"	"18035"	"15-19 years"	"15-19"	"2022"	"2022"	64
	"Elkhart County, IN"	"18039"	"15-19 years"	"15-19"	"2022"	"2022"	166
	"Hamilton County, IN"	"18057"	"15-19 years"	"15-19"	"2022"	"2022"	49
	"Hendricks County, IN"	"18063"	"15-19 years"	"15-19"	"2022"	"2022"	39
	"Johnson County, IN"	"18081"	"15-19 years"	"15-19"	"2022"	"2022"	63
	"Lake County, IN"	"18089"	"15-19 years"	"15-19"	"2022"	"2022"	219
	"La Porte County, IN"	"18091"	"15-19 years"	"15-19"	"2022"	"2022"	64
	"Madison County, IN"	"18095"	"15-19 years"	"15-19"	"2022"	"2022"	99
	"Marion County, IN"	"18097"	"15-19 years"	"15-19"	"2022"	"2022"	751
	"Monroe County, IN"	"18105"	"15-19 years"	"15-19"	"2022"	"2022"	33
	"Porter County, IN"	"18127"	"15-19 years"	"15-19"	"2022"	"2022"	32
	"St. Joseph County, IN"	"18141"	"15-19 years"	"15-19"	"2022"	"2022"	156
	"Tippecanoe County, IN"	"18157"	"15-19 years"	"15-19"	"2022"	"2022"	80
	"Vanderburgh County, IN"	"18163"	"15-19 years"	"15-19"	"2022"	"2022"	118
	"Vigo County, IN"	"18167"	"15-19 years"	"15-19"	"2022"	"2022"	76
	"Unidentified Counties, IN"	"18999"	"15-19 years"	"15-19"	"2022"	"2022"	1415
	"Black Hawk County, IA"	"19013"	"15-19 years"	"15-19"	"2022"	"2022"	69
	"Johnson County, IA"	"19103"	"15-19 years"	"15-19"	"2022"	"2022"	38
	"Linn County, IA"	"19113"	"15-19 years"	"15-19"	"2022"	"2022"	75
	"Polk County, IA"	"19153"	"15-19 years"	"15-19"	"2022"	"2022"	232
	"Scott County, IA"	"19163"	"15-19 years"	"15-19"	"2022"	"2022"	89
	"Woodbury County, IA"	"19193"	"15-19 years"	"15-19"	"2022"	"2022"	78
	"Unidentified Counties, IA"	"19999"	"15-19 years"	"15-19"	"2022"	"2022"	757
	"Douglas County, KS"	"20045"	"15-19 years"	"15-19"	"2022"	"2022"	34
	"Johnson County, KS"	"20091"	"15-19 years"	"15-19"	"2022"	"2022"	97
	"Sedgwick County, KS"	"20173"	"15-19 years"	"15-19"	"2022"	"2022"	363
	"Shawnee County, KS"	"20177"	"15-19 years"	"15-19"	"2022"	"2022"	145
	"Wyandotte County, KS"	"20209"	"15-19 years"	"15-19"	"2022"	"2022"	188
	"Unidentified Counties, KS"	"20999"	"15-19 years"	"15-19"	"2022"	"2022"	788
	"Boone County, KY"	"21015"	"15-19 years"	"15-19"	"2022"	"2022"	61
	"Fayette County, KY"	"21067"	"15-19 years"	"15-19"	"2022"	"2022"	173
	"Hardin County, KY"	"21093"	"15-19 years"	"15-19"	"2022"	"2022"	72
	"Jefferson County, KY"	"21111"	"15-19 years"	"15-19"	"2022"	"2022"	383
	"Kenton County, KY"	"21117"	"15-19 years"	"15-19"	"2022"	"2022"	96
	"Warren County, KY"	"21227"	"15-19 years"	"15-19"	"2022"	"2022"	106
	"Unidentified Counties, KY"	"21999"	"15-19 years"	"15-19"	"2022"	"2022"	2147
	"Ascension Parish, LA"	"22005"	"15-19 years"	"15-19"	"2022"	"2022"	75
	"Bossier Parish, LA"	"22015"	"15-19 years"	"15-19"	"2022"	"2022"	87
	"Caddo Parish, LA"	"22017"	"15-19 years"	"15-19"	"2022"	"2022"	222
	"Calcasieu Parish, LA"	"22019"	"15-19 years"	"15-19"	"2022"	"2022"	161
	"East Baton Rouge Parish, LA"	"22033"	"15-19 years"	"15-19"	"2022"	"2022"	349
	"Jefferson Parish, LA"	"22051"	"15-19 years"	"15-19"	"2022"	"2022"	259
	"Lafayette Parish, LA"	"22055"	"15-19 years"	"15-19"	"2022"	"2022"	177
	"Livingston Parish, LA"	"22063"	"15-19 years"	"15-19"	"2022"	"2022"	97
	"Orleans Parish, LA"	"22071"	"15-19 years"	"15-19"	"2022"	"2022"	215
	"Ouachita Parish, LA"	"22073"	"15-19 years"	"15-19"	"2022"	"2022"	146
	"Rapides Parish, LA"	"22079"	"15-19 years"	"15-19"	"2022"	"2022"	115
	"St. Tammany Parish, LA"	"22103"	"15-19 years"	"15-19"	"2022"	"2022"	120
	"Tangipahoa Parish, LA"	"22105"	"15-19 years"	"15-19"	"2022"	"2022"	115
	"Terrebonne Parish, LA"	"22109"	"15-19 years"	"15-19"	"2022"	"2022"	86
	"Unidentified Counties, LA"	"22999"	"15-19 years"	"15-19"	"2022"	"2022"	1278
	"Androscoggin County, ME"	"23001"	"15-19 years"	"15-19"	"2022"	"2022"	30
	"Cumberland County, ME"	"23005"	"15-19 years"	"15-19"	"2022"	"2022"	28
	"Kennebec County, ME"	"23011"	"15-19 years"	"15-19"	"2022"	"2022"	34
	"Penobscot County, ME"	"23019"	"15-19 years"	"15-19"	"2022"	"2022"	37
	"York County, ME"	"23031"	"15-19 years"	"15-19"	"2022"	"2022"	42
	"Unidentified Counties, ME"	"23999"	"15-19 years"	"15-19"	"2022"	"2022"	148
	"Anne Arundel County, MD"	"24003"	"15-19 years"	"15-19"	"2022"	"2022"	133
	"Baltimore County, MD"	"24005"	"15-19 years"	"15-19"	"2022"	"2022"	279
	"Carroll County, MD"	"24013"	"15-19 years"	"15-19"	"2022"	"2022"	26
	"Cecil County, MD"	"24015"	"15-19 years"	"15-19"	"2022"	"2022"	48
	"Charles County, MD"	"24017"	"15-19 years"	"15-19"	"2022"	"2022"	41
	"Frederick County, MD"	"24021"	"15-19 years"	"15-19"	"2022"	"2022"	65
	"Harford County, MD"	"24025"	"15-19 years"	"15-19"	"2022"	"2022"	55
	"Howard County, MD"	"24027"	"15-19 years"	"15-19"	"2022"	"2022"	33
	"Montgomery County, MD"	"24031"	"15-19 years"	"15-19"	"2022"	"2022"	240
	"Prince George's County, MD"	"24033"	"15-19 years"	"15-19"	"2022"	"2022"	386
	"St. Mary's County, MD"	"24037"	"15-19 years"	"15-19"	"2022"	"2022"	50
	"Washington County, MD"	"24043"	"15-19 years"	"15-19"	"2022"	"2022"	74
	"Baltimore city, MD"	"24510"	"15-19 years"	"15-19"	"2022"	"2022"	389
	"Unidentified Counties, MD"	"24999"	"15-19 years"	"15-19"	"2022"	"2022"	247
	"Barnstable County, MA"	"25001"	"15-19 years"	"15-19"	"2022"	"2022"	27
	"Berkshire County, MA"	"25003"	"15-19 years"	"15-19"	"2022"	"2022"	34
	"Bristol County, MA"	"25005"	"15-19 years"	"15-19"	"2022"	"2022"	143
	"Essex County, MA"	"25009"	"15-19 years"	"15-19"	"2022"	"2022"	184
	"Hampden County, MA"	"25013"	"15-19 years"	"15-19"	"2022"	"2022"	195
	"Hampshire County, MA"	"25015"	"15-19 years"	"15-19"	"2022"	"2022"	18
	"Middlesex County, MA"	"25017"	"15-19 years"	"15-19"	"2022"	"2022"	201
	"Norfolk County, MA"	"25021"	"15-19 years"	"15-19"	"2022"	"2022"	40
	"Plymouth County, MA"	"25023"	"15-19 years"	"15-19"	"2022"	"2022"	85
	"Suffolk County, MA"	"25025"	"15-19 years"	"15-19"	"2022"	"2022"	175
	"Worcester County, MA"	"25027"	"15-19 years"	"15-19"	"2022"	"2022"	193
	"Allegan County, MI"	"26005"	"15-19 years"	"15-19"	"2022"	"2022"	38
	"Bay County, MI"	"26017"	"15-19 years"	"15-19"	"2022"	"2022"	52
	"Berrien County, MI"	"26021"	"15-19 years"	"15-19"	"2022"	"2022"	82
	"Calhoun County, MI"	"26025"	"15-19 years"	"15-19"	"2022"	"2022"	94
	"Eaton County, MI"	"26045"	"15-19 years"	"15-19"	"2022"	"2022"	40
	"Genesee County, MI"	"26049"	"15-19 years"	"15-19"	"2022"	"2022"	212
	"Ingham County, MI"	"26065"	"15-19 years"	"15-19"	"2022"	"2022"	109
	"Jackson County, MI"	"26075"	"15-19 years"	"15-19"	"2022"	"2022"	73
	"Kalamazoo County, MI"	"26077"	"15-19 years"	"15-19"	"2022"	"2022"	103
	"Kent County, MI"	"26081"	"15-19 years"	"15-19"	"2022"	"2022"	248
	"Livingston County, MI"	"26093"	"15-19 years"	"15-19"	"2022"	"2022"	15
	"Macomb County, MI"	"26099"	"15-19 years"	"15-19"	"2022"	"2022"	162
	"Monroe County, MI"	"26115"	"15-19 years"	"15-19"	"2022"	"2022"	52
	"Muskegon County, MI"	"26121"	"15-19 years"	"15-19"	"2022"	"2022"	121
	"Oakland County, MI"	"26125"	"15-19 years"	"15-19"	"2022"	"2022"	166
	"Ottawa County, MI"	"26139"	"15-19 years"	"15-19"	"2022"	"2022"	79
	"Saginaw County, MI"	"26145"	"15-19 years"	"15-19"	"2022"	"2022"	106
	"St. Clair County, MI"	"26147"	"15-19 years"	"15-19"	"2022"	"2022"	59
	"Washtenaw County, MI"	"26161"	"15-19 years"	"15-19"	"2022"	"2022"	55
	"Wayne County, MI"	"26163"	"15-19 years"	"15-19"	"2022"	"2022"	917
	"Unidentified Counties, MI"	"26999"	"15-19 years"	"15-19"	"2022"	"2022"	825
	"Anoka County, MN"	"27003"	"15-19 years"	"15-19"	"2022"	"2022"	65
	"Dakota County, MN"	"27037"	"15-19 years"	"15-19"	"2022"	"2022"	78
	"Hennepin County, MN"	"27053"	"15-19 years"	"15-19"	"2022"	"2022"	295
	"Olmsted County, MN"	"27109"	"15-19 years"	"15-19"	"2022"	"2022"	48
	"Ramsey County, MN"	"27123"	"15-19 years"	"15-19"	"2022"	"2022"	176
	"St. Louis County, MN"	"27137"	"15-19 years"	"15-19"	"2022"	"2022"	56
	"Scott County, MN"	"27139"	"15-19 years"	"15-19"	"2022"	"2022"	22
	"Stearns County, MN"	"27145"	"15-19 years"	"15-19"	"2022"	"2022"	52
	"Washington County, MN"	"27163"	"15-19 years"	"15-19"	"2022"	"2022"	32
	"Wright County, MN"	"27171"	"15-19 years"	"15-19"	"2022"	"2022"	31
	"Unidentified Counties, MN"	"27999"	"15-19 years"	"15-19"	"2022"	"2022"	641
	"DeSoto County, MS"	"28033"	"15-19 years"	"15-19"	"2022"	"2022"	124
	"Harrison County, MS"	"28047"	"15-19 years"	"15-19"	"2022"	"2022"	148
	"Hinds County, MS"	"28049"	"15-19 years"	"15-19"	"2022"	"2022"	199
	"Jackson County, MS"	"28059"	"15-19 years"	"15-19"	"2022"	"2022"	93
	"Rankin County, MS"	"28121"	"15-19 years"	"15-19"	"2022"	"2022"	85
	"Unidentified Counties, MS"	"28999"	"15-19 years"	"15-19"	"2022"	"2022"	2034
	"Boone County, MO"	"29019"	"15-19 years"	"15-19"	"2022"	"2022"	61
	"Clay County, MO"	"29047"	"15-19 years"	"15-19"	"2022"	"2022"	85
	"Franklin County, MO"	"29071"	"15-19 years"	"15-19"	"2022"	"2022"	50
	"Greene County, MO"	"29077"	"15-19 years"	"15-19"	"2022"	"2022"	194
	"Jackson County, MO"	"29095"	"15-19 years"	"15-19"	"2022"	"2022"	447
	"Jasper County, MO"	"29097"	"15-19 years"	"15-19"	"2022"	"2022"	125
	"Jefferson County, MO"	"29099"	"15-19 years"	"15-19"	"2022"	"2022"	72
	"St. Charles County, MO"	"29183"	"15-19 years"	"15-19"	"2022"	"2022"	74
	"St. Louis County, MO"	"29189"	"15-19 years"	"15-19"	"2022"	"2022"	318
	"St. Louis city, MO"	"29510"	"15-19 years"	"15-19"	"2022"	"2022"	182
	"Unidentified Counties, MO"	"29999"	"15-19 years"	"15-19"	"2022"	"2022"	1662
	"Missoula County, MT"	"30063"	"15-19 years"	"15-19"	"2022"	"2022"	22
	"Yellowstone County, MT"	"30111"	"15-19 years"	"15-19"	"2022"	"2022"	71
	"Unidentified Counties, MT"	"30999"	"15-19 years"	"15-19"	"2022"	"2022"	308
